von	di
zu	a
im	in
zum	per
ist	è
auf	sopra
Das	quella
durch	di
Dies	Questo
mit	con
ich	io
Sie	tu
es	esso
oder	o
Sein	essere
sind	siamo
beim	a
alle	tutti
haben	avere
Neu	nuovo
wir	noi
werden	volere
Zuhause	casa
uns	noi
Über	di
ob	Se
Seite	pagina
meine	mio
hat	ha
Suche	ricerca
frei	gratuito
aber	ma
unser	nostro
ein	uno
andere	altro
machen	fare
Information	informazione
Zeit	tempo
er	lui
welche	quale
ihr	loro
Nachrichten	notizia
benutzen	uso
Dort	Là
sehen	vedere
damit	così
Wer	chi
Netz	web
ebenfalls	anche
bekommen	ottenere
pm	pm
Aussicht	vista
c	c
e	e
zuerst	primo
gewesen	stato
würde	voluto
wurden	erano
s	S
mögen	piace
x	X
als	di
finden	trova
Preis	prezzo
zurück	indietro
oben	superiore
Menschen	persone
hätten	aveva
Liste	elenco
Name	nome
gerade	appena
Jahr	anno
Tag	giorno
in	in
zwei	Due
Gesundheit	Salute
n	n
Re	ri
benutzt	Usato
gehen	partire
b	B
letzte	ultimo
machen	rendere
Sie	loro
sollte	dovrebbero
Produkt	Prodotto
System	sistema
Post	inviare
ihr	sua
Stadt	città
t	t
Politik	politica
Nummer	numero
Unterstützung	supporto
Botschaft	Messaggio
nach	dopo
dann	poi
Januar	gennaio
gut	bene
d	d
woher	dove
Info	Informazioni
Rechte	diritti
Bücher	libri
hoch	alto
Schule	scuola
m	m
jeder	ogni
Links	link
sie	lei
Jahre	anni
Auftrag	ordine
sehr	molto
Buch	libro
Artikel	elementi
Unternehmen	azienda
r	r
lesen	leggere
Gruppe	gruppo
Sex	sesso
viele	molti
Benutzer	utente
de	de
einstellen	impostato
Allgemeines	generale
Forschung	ricerca
Universität	Università
Januar	gennaio
Post	posta
voll	pieno
Bewertungen	recensioni
Programm	programma
kennt	conoscere
Spiele	Giochi
Weg	modo
Tage	giorni
p	p
Teil	parte
könnte	poteva
groß	grande
vereinigt	unito
echt	vero
f	f
International	internazionale
Center	centro
Reise	viaggio
Bemerkungen	Commenti
gemacht	fatto
Entwicklung	sviluppo
Bericht	rapporto
Mitglied	membro
Einzelheiten	dettagli
Linie	linea
Bedingungen	condizioni
Vor	prima
Hotels	alberghi
tat	fatto
senden	inviare
Recht	destra
Art	genere
lokal	Locale
jene	quelli
Ergebnisse	risultati
Büro	ufficio
National	nazionale
Auto	auto
Design	design
nehmen	prendere
Gesendet	postato
Adresse	indirizzo
Gemeinschaft	Comunità
innerhalb	entro
Zustände	stati
wollen	volere
Telefon	Telefono
DVD	DVD
Gegenstand	soggetto
zwischen	fra
Forum	Forum
Familie	famiglia
l	l
lange	lungo
w	w
Show	mostrare
O	o
sogar	anche
schwarz	nero
Besondere	speciale
Index	indice
Sein	essere
Frau	donne
viel	tanto
Schild	cartello
Datei	file
Verknüpfung	collegamento
öffnen	Aperto
Süd	Sud
Fall	Astuccio
Projekt	progetto
Seiten	pagine
Ausführung	versione
Sektion	sezione
besitzen	proprio
Haus	Casa
Sicherheit	sicurezza
G	g
Bezirk	contea
amerikanisch	americano
Foto	foto
Spiel	gioco
Mitglieder	membri
Leistung	energia
Netzwerk	Rete
Computer	computer
Systeme	sistemi
drei	tre
Ort	posto
Ende	fine
h	h
ihm	lui
pro	per
Zugriff	accesso
denken	pensare
Norden	nord
Ressourcen	risorse
Strom	attuale
groß	grande
Medien	media
Recht	legge
Steuerung	controllo
Wasser	acqua
Geschichte	storia
Größe	dimensione
persönlich	personale
führen	guida
Geschäft	negozio
Verzeichnis	elenco
Veränderung	modificare
Weiß	bianca
Text	testo
klein	piccolo
Wertung	valutazione
Bewertung	Vota
Regierung	governo
Kinder	bambini
Rückkehr	ritorno
Studenten	studenti
v	v
Konto	account
mal	volte
Niveau	livello
Digital	digitale
Profil	profilo
Bisherige	precedente
bilden	modulo
Veranstaltungen	eventi
Liebe	amore
alt	vecchio
John	John
Main	principale
Anruf	chiamata
Bild	Immagine
Abteilung	Dipartimento
Titel	titolo
nicht	non
k	K
y	y
Versicherung	assicurazione
soll	deve
Eigentum	proprietà
Klasse	classe
CD	CD
Qualität	qualità
jeden	ogni
Auflistung	listato
Inhalt	soddisfare
Land	nazione
wenig	piccolo
Werkzeuge	utensili
niedrig	Basso
Antworten	rispondere
Kunde	cliente
Dezember	dicembre
vergleichen	confrontare
Filme	film
Hochschule	Università
Wert	valore
Artikel	articolo
Mann	uomo
Arbeitsplätze	lavori
j	j
Lebensmittel	cibo
Autor	autore
anders	diverso
u	u
lernen	imparare
Verkauf	saldi
drucken	stampare
Kurs	corso
Job	lavoro
Zimmer	camera
Stock	azione
Ausbildung	formazione
auch	pure
Kredit	credito
Punkt	punto
Wissenschaft	scienza
Männer	uomini
Kategorien	categorie
Westen	ovest
aussehen	Guarda
Englisch	Inglese
Mannschaft	squadra
Gut	tenuta
Box	scatola
Bedingungen	condizioni
Fotos	fotografie
Fröhlich	gay
Faden	filo
Kategorie	categoria
Hinweis	Nota
Leben	vivere
groß	grande
Galerie	galleria
Tabelle	tavolo
jedoch	però
Juni	giugno
Oktober	ottobre
November	novembre
Markt	mercato
Bibliothek	biblioteca
Aktion	azione
Anfang	inizio
Serie	serie
Eigenschaften	Caratteristiche
Luft	aria
Industrie	industria
planen	Piano
Mensch	umano
Ja	sì
zweite	secondo
heiß	caldo
Kosten	costo
Film	film
Foren	forum
März	marzo
la	la
September	settembre
sagen	dire
gehen	andando
medizinisch	medico
Freund	amico
Dezember	dicembre
Server	server
Anwendung	applicazione
Mitarbeiter	personale
abspielen	giocare
Probleme	problemi
April	aprile
Benutzer	utenti
Straße	strada
Thema	argomento
gegen	contro
bekam	avuto
Blog	blog
Party	festa
Zahlung	pagamento
Ausrüstung	attrezzatura
Lassen	permettere
Programme	programmi
legal	legale
kürzlich	recente
Park	parco
Handlung	atto
Problem	problema
rot	rosso
geben	dare
Erinnerung	memoria
Performance	prestazione
Sozial	sociale
q	q
Geschichte	storia
verkaufen	vendere
Optionen	opzioni
Erfahrung	Esperienza
Schlüssel	chiave
Karosserie	corpo
jung	giovane
wichtig	importante
Feld	campo
wenige	pochi
Osten	est
Single	singolo
ii	ii
Alter	età
Verein	club
Beispiel	esempio
Mädchen	ragazze
z	z
Straße	strada
Geschenk	regalo
Frage	domanda
ca	circa
hart	difficile
Zahlen	pagare
vier	quattro
Poker	poker
Problem	problema
Angebot	gamma
Gebäude	costruzione
Verkäufer	venditore
Gericht	Tribunale
Februar	febbraio
Ergebnis	risultato
Licht	leggero
schreiben	Scrivi
Krieg	guerra
Angebot	offrire
Blau	blu
Gruppen	gruppi
al	al
einfach	facile
gegeben	dato
anfordern	richiesta
Fax	fax
China	Cina
Herstellung	fabbricazione
Bild	immagine
Bedürfnisse	esigenze
möglich	possibile
Monat	mese
Haupt	maggiore
Star	stella
Zukunft	futuro
Raum	spazio
Ausschuss	Comitato
Hand	mano
Sonne	sole
Karten	carte
London	Londra
Treffen	incontro
werden	diventare
Kind	bambino
behalten	conservare
